x,y,z,pitch,yaw,ok,err
0.25,-0.1,0.25,1.2,0.0,1,7.204002861688499e-05
0.25,-0.1,0.25,1.2,0.3,1,8.515309105847362e-05
0.25,-0.1,0.25,1.2,0.6,0,0.04164907959342197
0.25,-0.1,0.25,1.57,-0.6,0,0.22021434857996777
0.25,-0.1,0.25,1.57,-0.3,0,0.2249204203767015
0.25,-0.1,0.25,1.57,0.0,0,0.24303978248068248
0.25,-0.1,0.25,1.57,0.3,0,0.21497775883834322
0.25,-0.1,0.25,1.57,0.6,0,0.24338166686993312
0.25,0.0,0.08,0.0,-0.6,0,0.29405863481767675
0.25,0.0,0.08,0.0,-0.3,0,0.13446343037187589
0.25,0.0,0.08,0.0,0.0,0,0.10997060854358509
0.25,0.0,0.08,0.0,0.3,0,0.13461947717013104
0.25,0.0,0.08,0.0,0.6,0,0.29427373456871925
0.25,0.0,0.08,0.225,-0.6,1,6.977347526021164e-05
0.25,0.0,0.08,0.225,-0.3,0,0.2147936740516513
0.25,0.0,0.08,0.225,0.0,0,0.05182256063273084
0.25,0.0,0.08,0.225,0.3,0,0.21484544959035465
0.25,0.0,0.08,0.225,0.6,1,6.98110523201685e-05
0.25,0.0,0.08,0.45,-0.6,1,6.671428591323509e-05
0.25,0.0,0.08,0.45,-0.3,1,9.182702244155683e-05
0.25,0.0,0.08,0.45,0.0,0,0.00919287844022604
0.25,0.0,0.08,0.45,0.3,1,9.182418195817636e-05
0.25,0.0,0.08,0.45,0.6,1,6.671257298820596e-05
0.25,0.0,0.08,0.675,-0.6,1,7.60441268222271e-05
0.25,0.0,0.08,0.675,-0.3,1,5.542213912380562e-05
0.25,0.0,0.08,0.675,0.0,1,8.422488503884199e-05
0.25,0.0,0.08,0.675,0.3,1,5.5421728344639534e-05
0.25,0.0,0.08,0.675,0.6,1,7.60356355638882e-05
0.25,0.0,0.08,0.9,-0.6,1,8.476588233694517e-05
0.25,0.0,0.08,0.9,-0.3,1,6.525632984891359e-05
0.25,0.0,0.08,0.9,0.0,1,5.572656025805571e-05
0.25,0.0,0.08,0.9,0.3,1,6.525306255909711e-05
0.25,0.0,0.08,0.9,0.6,1,8.474940237565136e-05
0.25,0.0,0.08,1.2,-0.6,1,5.003506440616343e-05
0.25,0.0,0.08,1.2,-0.3,1,8.07155410720618e-05
0.25,0.0,0.08,1.2,0.0,1,7.39203975013268e-05
0.25,0.0,0.08,1.2,0.3,1,8.070548481911397e-05
0.25,0.0,0.08,1.2,0.6,1,5.001642407184265e-05
0.25,0.0,0.08,1.57,-0.6,1,6.079419057370929e-05
0.25,0.0,0.08,1.57,-0.3,1,5.109198952268143e-05
0.25,0.0,0.08,1.57,0.0,1,9.635955062524352e-05
0.25,0.0,0.08,1.57,0.3,1,5.108018182921508e-05
0.25,0.0,0.08,1.57,0.6,1,6.075765632703473e-05
0.25,0.0,0.12,0.0,-0.6,0,0.22203586971218814
0.25,0.0,0.12,0.0,-0.3,0,0.1087764320827931
0.25,0.0,0.12,0.0,0.0,0,0.0702367819294326
0.25,0.0,0.12,0.0,0.3,0,0.1089755932586115
0.25,0.0,0.12,0.0,0.6,0,0.22225322623769225
0.25,0.0,0.12,0.225,-0.6,1,5.145474864396386e-05
0.25,0.0,0.12,0.225,-0.3,0,0.03706495313430502
0.25,0.0,0.12,0.225,0.0,0,0.017291912007509284
0.25,0.0,0.12,0.225,0.3,0,0.03707066612108309
0.25,0.0,0.12,0.225,0.6,1,5.148518184712724e-05
0.25,0.0,0.12,0.45,-0.6,1,6.603086381741563e-05
0.25,0.0,0.12,0.45,-0.3,1,9.044293132988375e-05
0.25,0.0,0.12,0.45,0.0,1,5.624773606180198e-05
0.25,0.0,0.12,0.45,0.3,1,9.045004643012052e-05
0.25,0.0,0.12,0.45,0.6,1,6.603159529202893e-05
0.25,0.0,0.12,0.675,-0.6,1,7.71603441080902e-05
0.25,0.0,0.12,0.675,-0.3,1,5.52088705289418e-05
0.25,0.0,0.12,0.675,0.0,1,8.35171150382627e-05
0.25,0.0,0.12,0.675,0.3,1,5.520840775445622e-05
0.25,0.0,0.12,0.675,0.6,1,7.714927151648425e-05
0.25,0.0,0.12,0.9,-0.6,1,8.68870308186693e-05
0.25,0.0,0.12,0.9,-0.3,1,6.534797569737861e-05
0.25,0.0,0.12,0.9,0.0,1,5.5449726671220495e-05
0.25,0.0,0.12,0.9,0.3,1,6.534325027869966e-05
0.25,0.0,0.12,0.9,0.6,1,8.686393088192966e-05
